age,job,marital,education,default,balance,housing,loan
41,self-employed,married,tertiary,no,231,yes,no
34,admin.,married,secondary,no,642,yes,no
49,management,married,secondary,no,99,yes,no
31,management,married,tertiary,no,1812,no,no
38,technician,married,secondary,no,275,yes,no
33,admin.,married,secondary,no,-6,yes,no
36,technician,married,secondary,no,1659,yes,yes
36,technician,divorced,secondary,no,54,no,no
42,blue-collar,divorced,secondary,no,498,yes,no
50,technician,single,tertiary,no,2585,no,no
29,blue-collar,married,primary,no,5,yes,yes
42,technician,single,unknown,no,11115,no,no
44,self-employed,single,tertiary,no,149,yes,no
38,blue-collar,married,secondary,no,8444,yes,no
28,technician,single,secondary,no,1363,no,no
60,retired,divorced,tertiary,no,-79,no,no
46,technician,divorced,secondary,no,117,yes,no
39,admin.,single,secondary,yes,-302,yes,yes
37,blue-collar,married,secondary,no,965,no,yes
43,management,married,tertiary,no,657,no,no
39,technician,single,tertiary,no,54,no,no
29,unemployed,married,secondary,no,-25,yes,no
41,services,divorced,secondary,no,787,yes,yes
41,management,married,tertiary,no,5936,no,no
48,admin.,single,secondary,no,479,yes,yes
35,technician,single,secondary,no,539,yes,no
53,blue-collar,married,secondary,no,-8,yes,no
41,self-employed,married,secondary,no,2812,yes,no
41,management,married,secondary,no,280,no,no
50,management,married,tertiary,no,4,yes,yes
54,admin.,divorced,secondary,no,1383,yes,no
32,entrepreneur,married,tertiary,no,721,yes,yes
35,admin.,single,unknown,no,471,yes,no
30,services,single,secondary,no,248,no,no
44,management,married,primary,no,1880,yes,no
42,blue-collar,married,secondary,no,366,yes,no
34,entrepreneur,married,tertiary,no,355,yes,no
31,admin.,divorced,secondary,no,217,no,no
62,retired,divorced,secondary,no,410,no,no
53,management,married,secondary,no,478,no,no
49,services,married,secondary,no,1345,yes,no
30,admin.,single,secondary,no,154,yes,no
55,blue-collar,married,primary,no,627,no,no
47,services,married,secondary,no,24,no,no
59,blue-collar,married,primary,no,3587,no,no
46,admin.,single,secondary,no,-976,yes,yes
58,retired,divorced,secondary,no,439,no,yes
38,management,single,tertiary,no,38,yes,no
27,technician,married,secondary,no,806,yes,no
51,blue-collar,divorced,primary,no,37,yes,no
50,blue-collar,married,unknown,no,0,no,no
41,management,married,tertiary,no,9935,no,no
47,blue-collar,married,secondary,no,310,no,no
37,management,married,tertiary,no,1949,yes,no
37,blue-collar,married,primary,no,157,yes,no
39,blue-collar,married,primary,no,477,yes,no
51,management,married,tertiary,no,15904,no,no
23,student,single,primary,no,474,yes,no
47,management,single,secondary,no,651,no,yes
56,retired,married,primary,no,-299,yes,yes
51,admin.,married,secondary,no,4178,no,no
27,blue-collar,single,secondary,no,2364,yes,no
42,blue-collar,married,primary,no,205,yes,no
38,technician,single,tertiary,no,38,no,no
32,management,single,secondary,no,-515,no,yes
53,self-employed,married,secondary,no,186,yes,no
41,services,married,primary,no,124,yes,no
60,retired,married,secondary,no,5207,no,no
50,management,married,unknown,no,0,no,no
33,admin.,married,primary,no,372,yes,no
28,student,single,secondary,no,1925,no,no
32,blue-collar,married,secondary,no,1780,yes,no
55,management,married,tertiary,no,161,yes,no
38,admin.,divorced,secondary,no,661,yes,no
37,blue-collar,married,primary,yes,-23,no,yes
45,blue-collar,married,secondary,no,7895,yes,no
31,blue-collar,married,secondary,no,625,yes,no
34,management,married,tertiary,no,832,yes,yes
44,technician,married,secondary,no,584,yes,no
33,blue-collar,married,primary,no,463,yes,no
54,services,married,secondary,no,386,no,no
33,blue-collar,married,unknown,no,-923,yes,no
47,unemployed,married,secondary,no,351,yes,yes
36,management,married,tertiary,no,1619,yes,no
57,unemployed,divorced,secondary,no,2762,no,yes
30,technician,single,secondary,no,363,yes,no
31,unemployed,married,tertiary,no,232,yes,no
49,blue-collar,married,primary,no,-165,no,no
26,blue-collar,single,primary,no,179,no,yes
50,management,married,tertiary,no,-151,no,no
46,management,married,tertiary,no,375,no,no
34,blue-collar,divorced,secondary,no,-301,yes,no
52,blue-collar,married,primary,no,990,no,no
43,blue-collar,married,primary,no,-192,no,no
33,blue-collar,married,primary,yes,-745,yes,no
30,management,single,tertiary,no,890,yes,no
37,technician,divorced,secondary,no,2610,no,no
31,technician,single,tertiary,no,6,no,no
31,blue-collar,divorced,secondary,no,387,yes,yes
29,management,single,tertiary,no,2063,no,no
36,admin.,single,secondary,no,1927,yes,no
40,blue-collar,married,secondary,no,4795,yes,no
55,admin.,married,secondary,no,183,yes,no
31,blue-collar,married,secondary,no,1779,yes,no
48,blue-collar,married,secondary,no,841,no,yes
38,blue-collar,divorced,secondary,no,887,yes,no
37,technician,single,secondary,no,2139,yes,no
29,management,married,tertiary,no,54,yes,no
26,unemployed,single,secondary,no,4,yes,no
39,blue-collar,married,primary,no,558,yes,no
42,admin.,married,secondary,no,383,no,yes
42,blue-collar,married,primary,no,-67,yes,no
42,blue-collar,married,primary,no,21,yes,no
40,services,married,primary,no,1117,no,no
30,technician,single,tertiary,no,1289,yes,no
34,technician,married,tertiary,no,0,yes,yes
50,admin.,married,primary,no,-75,yes,no
53,services,married,secondary,no,33,yes,no
36,technician,married,secondary,no,3832,no,no
30,admin.,single,secondary,no,1027,yes,no
30,admin.,single,secondary,no,285,no,no
45,self-employed,married,secondary,no,830,no,no
49,blue-collar,married,primary,no,11317,yes,no
29,technician,single,secondary,no,1856,yes,no
52,blue-collar,married,secondary,no,372,yes,no
43,admin.,married,secondary,no,477,no,no
28,management,single,tertiary,no,957,yes,no
32,management,married,tertiary,no,0,no,no
56,technician,divorced,secondary,no,0,no,no
49,self-employed,married,tertiary,no,7254,no,no
43,technician,married,tertiary,no,2643,no,no
57,retired,married,primary,no,6969,no,no
43,blue-collar,single,primary,no,999,no,no
32,technician,single,secondary,no,0,yes,no
35,blue-collar,married,primary,no,208,yes,no
30,admin.,single,secondary,no,330,no,no
59,management,married,unknown,no,2358,no,no
46,management,married,tertiary,no,110,yes,no
33,technician,single,secondary,no,555,no,no
49,management,divorced,tertiary,no,-2049,yes,yes
55,services,married,secondary,no,186,yes,no
32,admin.,married,secondary,no,0,yes,no
32,blue-collar,married,secondary,no,2,yes,yes
32,blue-collar,married,secondary,no,564,no,no
52,management,married,secondary,no,335,no,no
40,management,married,tertiary,no,42,no,yes
39,admin.,divorced,secondary,no,512,yes,no
46,technician,married,secondary,no,475,no,no
61,retired,married,unknown,no,2917,yes,no
32,technician,married,tertiary,no,415,yes,no
39,management,single,tertiary,no,0,yes,no
34,technician,single,secondary,no,5731,yes,no
49,technician,married,secondary,no,1269,yes,yes
38,housemaid,married,tertiary,no,0,yes,no
31,student,single,unknown,no,2144,no,no
30,services,married,secondary,no,48,yes,no
32,services,married,secondary,no,0,yes,no
60,self-employed,married,tertiary,no,2149,no,no
30,self-employed,single,tertiary,no,166,no,no
48,services,married,secondary,no,288,yes,no
39,blue-collar,single,unknown,no,2841,no,no
60,management,married,primary,no,130,no,no
39,student,single,unknown,no,64,no,no
48,management,married,tertiary,no,3494,no,no
49,self-employed,married,tertiary,no,1791,no,no
54,management,single,tertiary,no,0,no,no
49,housemaid,married,tertiary,no,468,yes,no
30,admin.,married,primary,no,624,yes,no
36,services,married,secondary,no,895,no,no
34,technician,single,secondary,no,10890,no,no
23,services,married,secondary,no,0,yes,yes
56,retired,married,secondary,no,-1,no,no
50,entrepreneur,married,tertiary,no,861,no,no
35,management,married,tertiary,no,22569,yes,no
49,blue-collar,married,secondary,no,119,yes,no
32,management,married,tertiary,no,8,no,no
43,management,married,tertiary,no,1684,no,no
34,blue-collar,married,secondary,no,1430,yes,no
53,blue-collar,married,primary,no,306,yes,yes
35,blue-collar,divorced,primary,no,0,yes,no
45,technician,married,secondary,no,115,yes,no
52,technician,married,secondary,no,-33,yes,yes
34,technician,married,tertiary,no,5547,yes,no
32,blue-collar,single,secondary,no,1047,yes,no
41,blue-collar,married,primary,no,-516,yes,no
31,admin.,single,secondary,no,78,no,no
42,blue-collar,married,secondary,no,2044,yes,no
42,management,divorced,tertiary,no,16,yes,no
31,management,married,tertiary,no,430,yes,no
53,entrepreneur,married,tertiary,no,22370,yes,no
54,management,married,tertiary,no,8295,yes,no
41,entrepreneur,married,secondary,no,2105,yes,no
36,management,married,tertiary,no,2183,yes,no
37,admin.,married,unknown,no,892,yes,no
32,technician,single,secondary,yes,-1,no,yes
32,technician,single,secondary,no,3586,no,no
33,technician,single,tertiary,no,8874,no,no
32,blue-collar,married,primary,no,1261,no,no
47,housemaid,married,secondary,no,3940,no,no
59,admin.,divorced,secondary,no,-41,yes,yes
36,management,married,tertiary,no,287,no,no
34,blue-collar,married,secondary,no,1298,yes,no
57,retired,married,secondary,no,427,no,no
34,blue-collar,single,unknown,no,-90,yes,no
37,admin.,married,secondary,no,1345,yes,no
35,blue-collar,married,secondary,no,913,yes,yes
41,services,married,secondary,no,4283,yes,no
25,admin.,married,secondary,no,894,yes,no
32,technician,married,secondary,no,1830,yes,no
54,unemployed,married,primary,no,1463,no,no
40,technician,married,secondary,no,1716,no,no
26,technician,single,secondary,no,507,no,no
26,management,single,tertiary,no,2506,no,no
33,technician,single,secondary,no,234,no,no
33,technician,married,secondary,no,5,yes,no
29,entrepreneur,single,tertiary,no,430,no,yes
23,management,single,unknown,no,280,no,no
29,blue-collar,married,secondary,no,15,no,no
47,technician,married,tertiary,no,831,yes,no
45,management,married,tertiary,no,0,yes,no
32,management,married,tertiary,no,396,yes,no
49,management,married,secondary,no,466,no,no
47,self-employed,single,tertiary,no,8106,no,no
34,management,single,tertiary,no,3282,no,no
50,admin.,divorced,secondary,no,556,yes,yes
28,admin.,single,secondary,no,154,no,no
51,admin.,married,secondary,no,176,no,no
28,technician,married,secondary,no,1180,yes,no
26,blue-collar,married,secondary,no,245,yes,no
43,technician,divorced,unknown,no,1823,no,no
27,admin.,single,secondary,no,80,yes,yes
45,technician,married,secondary,no,1441,yes,no
37,services,married,secondary,no,1785,yes,yes
51,technician,married,secondary,no,1186,yes,no
54,management,married,unknown,no,831,yes,yes
38,blue-collar,married,secondary,no,924,yes,no
61,retired,married,secondary,no,280,no,no
54,management,divorced,tertiary,no,496,no,no
31,admin.,single,tertiary,no,2004,no,no
28,student,single,secondary,no,197,no,no
54,management,married,primary,no,1691,no,no
55,management,married,tertiary,no,926,no,no
46,blue-collar,single,secondary,no,76,yes,no
34,services,married,secondary,no,457,yes,no
35,admin.,married,secondary,no,-112,yes,no
55,blue-collar,married,primary,no,-219,yes,no
33,technician,married,secondary,no,1166,yes,no
40,management,married,primary,no,214,yes,no
58,retired,married,secondary,no,166,no,no
37,housemaid,divorced,secondary,no,70,no,no
26,services,single,secondary,no,256,yes,no
31,services,single,secondary,no,203,no,no
40,housemaid,married,secondary,no,4136,no,no
37,services,married,secondary,no,1498,yes,no
33,management,married,tertiary,no,26721,no,no
56,blue-collar,divorced,primary,no,3021,no,no
43,blue-collar,married,secondary,no,1559,yes,no
30,management,single,tertiary,no,149,yes,no
36,blue-collar,married,primary,no,1503,yes,no
22,student,single,tertiary,no,691,no,no
48,blue-collar,divorced,secondary,no,4597,no,no
71,management,married,tertiary,no,0,no,no
47,blue-collar,married,primary,no,0,no,no
47,technician,single,tertiary,no,31,yes,no
36,services,married,secondary,no,1694,yes,no
31,services,married,tertiary,no,-82,yes,no
32,management,married,tertiary,no,1812,yes,no
39,technician,married,secondary,no,355,no,yes
31,management,married,tertiary,no,4761,yes,no
30,blue-collar,married,secondary,no,2080,no,no
35,management,married,tertiary,no,260,yes,yes
41,admin.,married,secondary,no,16517,no,no
34,management,single,tertiary,no,1310,no,no
29,management,single,tertiary,no,187,no,no
43,housemaid,married,primary,no,685,yes,no
35,blue-collar,single,secondary,no,3507,yes,no
41,technician,divorced,secondary,no,0,no,no
75,admin.,single,primary,no,433,no,no
49,blue-collar,married,secondary,no,64,yes,no
35,management,divorced,tertiary,no,505,yes,no
44,blue-collar,married,secondary,no,545,yes,yes
36,technician,married,unknown,no,0,yes,no
36,admin.,married,tertiary,no,0,yes,no
48,services,married,secondary,no,440,no,no
53,admin.,married,secondary,no,1373,no,no
31,technician,married,secondary,no,3322,no,yes
58,retired,divorced,primary,no,6,no,no
38,technician,married,secondary,no,253,no,no
38,entrepreneur,divorced,tertiary,no,637,no,no
34,blue-collar,married,secondary,no,496,yes,no
52,blue-collar,married,secondary,no,380,yes,yes
52,technician,married,secondary,no,0,yes,no
42,blue-collar,married,secondary,no,-1664,yes,no
48,self-employed,single,tertiary,no,318,no,no
37,management,married,tertiary,no,1276,no,no
32,blue-collar,married,secondary,no,-63,yes,yes
32,management,single,tertiary,no,-345,yes,yes
33,management,divorced,tertiary,no,166,yes,no
