id,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,y
11087,Married,Male,60000,1,Partial College,Professional,Yes,1,10+ Miles,North America,58,0
11091,Married,Female,90000,0,Bachelors,Management,Yes,2,1-2 Miles,North America,63,0
11103,Married,Female,130000,4,Partial College,Professional,Yes,4,0-1 Miles,Europe,52,0
11104,Married,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,37,1
11113,Married,Male,130000,4,Partial College,Professional,Yes,4,0-1 Miles,Europe,60,0
11115,Married,Female,70000,1,Partial High School,Skilled Manual,Yes,3,10+ Miles,Europe,58,0
11121,Married,Male,60000,0,High School,Professional,No,2,5-10 Miles,North America,51,0
11122,Married,Male,40000,0,Partial College,Professional,Yes,2,5-10 Miles,North America,55,0
11123,Married,Male,20000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,0
11125,Married,Male,90000,0,Bachelors,Management,Yes,2,5-10 Miles,North America,65,0
11127,Single,Female,40000,0,Bachelors,Management,Yes,2,5-10 Miles,Pacific,67,0
11128,Married,Female,40000,0,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,0
11130,Married,Male,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,29,0
11137,Married,Female,60000,0,Graduate Degree,Management,No,2,1-2 Miles,North America,67,0
11138,Married,Female,80000,3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,0
11143,Married,Female,30000,0,High School,Clerical,Yes,1,5-10 Miles,North America,52,0
11146,Married,Male,30000,0,High School,Clerical,Yes,1,10+ Miles,North America,52,0
11148,Single,Male,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,33,0
11161,Single,Male,60000,0,High School,Professional,Yes,2,5-10 Miles,North America,52,0
11163,Single,Male,100000,3,Partial College,Professional,No,2,1-2 Miles,North America,46,0
11164,Single,Male,40000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,30,0
11166,Married,Male,60000,1,Partial College,Professional,Yes,2,10+ Miles,North America,57,0
11167,Single,Male,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,0
11169,Married,Male,30000,0,Partial College,Clerical,No,2,0-1 Miles,Pacific,68,0
11174,Married,Female,60000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,31,0
11176,Single,Female,60000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,0
11178,Married,Female,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,0
11183,Married,Female,10000,1,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,59,0
11185,Married,Female,30000,4,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,0
11186,Single,Female,20000,0,Partial High School,Manual,No,1,2-5 Miles,Europe,30,0
11187,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,0
11193,Married,Male,70000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,34,0
11195,Single,Male,30000,0,High School,Manual,No,1,2-5 Miles,Europe,35,0
11197,Married,Female,20000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,55,0
11200,Married,Female,30000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,71,0
11205,Married,Female,80000,4,Partial College,Professional,Yes,2,5-10 Miles,North America,44,0
11211,Married,Female,80000,3,Bachelors,Management,Yes,0,2-5 Miles,North America,42,0
11212,Married,Male,70000,3,High School,Professional,Yes,0,5-10 Miles,North America,51,0
11213,Married,Male,90000,0,Partial College,Professional,Yes,1,10+ Miles,North America,43,0
11215,Married,Female,10000,0,High School,Manual,Yes,2,0-1 Miles,Europe,74,0
11216,Single,Female,20000,0,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,58,0
11220,Married,Female,10000,0,Bachelors,Clerical,No,2,0-1 Miles,Europe,84,0
11222,Single,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,0
11223,Married,Female,60000,0,Bachelors,Management,Yes,2,10+ Miles,North America,67,0
11226,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,0
11229,Married,Male,20000,1,Partial High School,Clerical,Yes,2,1-2 Miles,Pacific,57,0
11230,Married,Female,100000,5,High School,Management,Yes,4,10+ Miles,Pacific,34,0
11231,Single,Female,60000,2,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,43,1
11232,Single,Female,120000,3,Partial College,Professional,No,4,1-2 Miles,North America,43,0
11233,Single,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,26,0
11235,Single,Female,20000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,72,0
11248,Married,Female,70000,5,Bachelors,Professional,No,3,10+ Miles,Pacific,39,0
11250,Single,Male,110000,1,Graduate Degree,Management,No,3,1-2 Miles,North America,38,0
11256,Married,Male,30000,0,Partial College,Clerical,No,2,5-10 Miles,Pacific,65,0
