id,gruposensitivo
110001,1
110002,0
110003,0
110004,1
110005,1
110006,1
110007,1
110008,1
110009,1
110010,1
110011,0
110012,1
110013,0
110014,0
110015,0
110016,0
110017,0
110018,1
110019,0
110020,0
110021,0
110022,1
110023,1
110024,1
110025,0
110026,0
110027,1
110028,0
110029,0
110030,1
110031,1
110032,0
110033,1
110034,1
110035,1
110036,0
110037,1
110038,1
110039,1
110040,0
110041,1
110042,0
110043,0
110044,0
110045,1
110046,1
110047,0
110048,0
110049,1
110050,1
110051,0
110052,0
110053,1
110054,0
110055,0
110056,0
110057,0
110058,1
110059,0
110060,1
110061,0
110062,0
110063,1
110064,1
110065,1
110066,1
110067,1
110068,0
110069,0
110070,1
110071,1
110072,1
110073,1
110074,0
110075,0
110076,1
110077,0
110078,1
110079,1
110080,1
110081,1
110082,0
110083,1
110084,1
110085,1
110086,0
110087,1
110088,0
110089,0
110090,1
110091,1
110092,1
110093,1
110094,0
110095,1
110096,1
110097,1
110098,0
110099,0
110100,1
110101,1
110102,1
110103,1
110104,1
110105,0
110106,1
110107,0
110108,0
110109,1
110110,1
110111,1
110112,0
110113,1
110114,0
110115,1
110116,1
110117,1
110118,1
110119,0
110120,1
110121,0
110122,0
110123,1
110124,0
110125,1
110126,0
110127,0
110128,1
110129,1
110130,0
110131,1
110132,0
110133,1
110134,1
110135,1
110136,1
110137,1
110138,1
110139,1
110140,1
110141,1
110142,1
110143,0
110144,1
110145,1
110146,1
110147,0
110148,1
110149,1
110150,0
110151,1
110152,1
110153,0
110154,1
110155,1
110156,1
110157,1
110158,1
110159,0
110160,0
110161,0
110162,0
110163,1
110164,1
110165,0
110166,0
110167,1
110168,1
110169,0
110170,1
110171,1
110172,1
110173,0
110174,0
110175,0
110176,1
110177,1
110178,1
110179,0
110180,1
110181,0
110182,1
110183,1
110184,1
110185,0
110186,0
110187,1
110188,1
110189,1
110190,0
110191,1
110192,1
110193,1
110194,1
110195,0
110196,0
110197,0
110198,1
110199,1
110200,0
110201,1
110202,1
110203,0
110204,1
110205,1
110206,1
110207,0
110208,0
110209,1
110210,0
110211,1
110212,1
110213,1
110214,0
110215,1
110216,1
110217,0
110218,1
110219,0
110220,1
110221,1
110222,1
110223,1
110224,1
110225,1
110226,0
110227,0
110228,1
110229,0
110230,0
110231,0
110232,0
110233,1
110234,1
110235,1
110236,0
110237,1
110238,0
110239,1
110240,1
110241,1
110242,1
110243,0
110244,1
110245,1
110246,1
110247,1
110248,1
110249,1
110250,1
110251,0
110252,0
110253,1
110254,1
110255,0
110256,1
110257,1
110258,1
110259,1
110260,1
110261,1
110262,1
110263,0
110264,0
110265,1
110266,0
110267,0
110268,1
110269,1
110270,0
110271,1
110272,0
110273,0
110274,0
110275,0
110276,1
110277,0
110278,1
110279,1
110280,1
110281,1
110282,1
110283,1
110284,1
110285,0
110286,1
110287,1
110288,1
110289,1
110290,1
110291,0
110292,1
110293,1
110294,0
110295,0
110296,0
110297,1
110298,0
110299,0
110300,0
110301,1
110302,1
110303,1
110304,1
110305,1
110306,0
110307,0
110308,1
110309,0
110310,1
110311,0
110312,1
110313,0
110314,1
110315,0
110316,1
110317,1
110318,1
110319,0
110320,1
110321,1
110322,0
110323,0
110324,1
110325,0
110326,0
110327,1
110328,1
110329,1
110330,1
110331,1
110332,1
110333,0
110334,0
110335,1
110336,0
110337,1
110338,1
110339,0
110340,0
110341,1
110342,0
110343,1
110344,0
110345,0
110346,1
110347,1
110348,1
110349,1
110350,1
110351,1
110352,1
110353,0
110354,1
110355,0
110356,1
110357,1
110358,1
110359,1
110360,0
110361,1
110362,0
110363,0
110364,1
110365,0
110366,0
110367,1
110368,1
110369,1
110370,1
110371,1
110372,1
110373,0
110374,1
110375,1
110376,1
110377,1
110378,1
110379,0
110380,0
110381,1
110382,1
110383,1
110384,1
110385,1
110386,1
110387,1
110388,1
110389,1
110390,1
110391,0
110392,1
110393,1
110394,1
110395,1
110396,1
110397,1
110398,0
110399,0
110400,0
110401,1
110402,1
110403,1
110404,1
110405,0
110406,1
110407,1
110408,0
110409,1
110410,1
110411,0
110412,1
110413,0
110414,1
110415,1
110416,1
110417,0
110418,1
110419,1
110420,0
110421,0
110422,1
110423,0
110424,1
110425,1
110426,1
110427,0
110428,1
110429,1
110430,1
110431,0
110432,0
110433,1
110434,1
110435,1
110436,0
110437,0
110438,0
110439,1
110440,1
110441,0
110442,1
110443,1
110444,1
110445,1
110446,0
110447,0
110448,1
110449,1
110450,1
110451,1
110452,1
110453,1
110454,0
110455,1
110456,0
110457,1
110458,1
110459,0
110460,1
110461,0
110462,1
110463,0
110464,0
110465,1
110466,0
110467,0
110468,1
110469,1
110470,0
110471,0
110472,1
110473,1
110474,0
110475,1
110476,1
110477,1
110478,0
110479,0
110480,1
110481,1
110482,1
110483,0
110484,1
110485,0
110486,1
110487,0
110488,0
110489,1
110490,1
110491,1
110492,1
110493,0
110494,1
110495,1
110496,0
110497,1
110498,1
110499,0
110500,1
110501,0
110502,0
110503,0
110504,0
110505,0
110506,1
110507,1
110508,1
110509,1
110510,1
110511,1
110512,0
110513,0
110514,1
110515,1
110516,1
110517,1
110518,0
110519,0
110520,1
110521,1
110522,1
110523,1
110524,1
110525,1
110526,1
110527,0
110528,1
110529,0
110530,0
110531,1
110532,1
110533,0
110534,1
110535,1
110536,1
110537,1
110538,0
110539,1
110540,0
110541,1
110542,1
110543,1
110544,0
110545,1
110546,0
110547,0
110548,0
110549,0
110550,1
110551,0
110552,1
110553,0
110554,1
110555,1
110556,1
110557,0
110558,1
110559,1
110560,1
110561,1
110562,0
110563,0
110564,0
110565,1
110566,0
110567,1
110568,1
110569,0
110570,1
110571,0
110572,1
110573,1
110574,0
110575,1
110576,1
110577,0
110578,1
110579,1
110580,1
110581,1
110582,1
110583,1
110584,1
110585,1
110586,1
110587,1
110588,1
110589,0
110590,1
110591,1
110592,0
110593,1
110594,0
110595,1
110596,1
110597,1
110598,0
110599,1
110600,1
110601,1
110602,1
110603,0
110604,0
110605,0
110606,1
110607,1
110608,1
110609,1
110610,1
110611,1
110612,0
110613,1
110614,0
110615,1
110616,0
110617,0
110618,0
110619,1
110620,1
110621,1
110622,1
110623,1
110624,1
110625,1
110626,1
110627,0
110628,1
110629,0
110630,1
110631,1
110632,1
110633,1
110634,0
110635,0
110636,0
110637,0
110638,1
110639,1
110640,0
110641,1
110642,0
110643,1
110644,1
110645,1
110646,1
110647,0
110648,1
110649,1
110650,0
110651,1
110652,1
110653,1
110654,1
110655,0
110656,0
110657,1
110658,1
110659,1
110660,1
110661,0
110662,1
110663,1
110664,1
110665,1
110666,1
110667,0
110668,0
110669,1
110670,0
110671,1
110672,1
110673,0
110674,0
110675,1
110676,0
110677,1
110678,0
110679,0
110680,0
110681,0
110682,1
110683,1
110684,0
110685,0
110686,1
110687,0
110688,1
110689,1
110690,1
110691,1
110692,1
110693,1
110694,0
110695,0
110696,1
110697,1
110698,0
110699,1
110700,1
110701,1
110702,0
110703,1
110704,1
110705,0
110706,1
110707,1
110708,0
110709,1
110710,1
110711,1
110712,0
110713,1
110714,1
110715,1
110716,0
110717,0
110718,0
110719,0
110720,1
110721,1
110722,0
110723,1
110724,0
110725,1
110726,1
110727,1
110728,1
110729,0
110730,0
110731,0
110732,1
110733,1
110734,1
110735,1
110736,1
110737,1
110738,1
110739,1
110740,1
110741,1
110742,0
110743,0
110744,0
110745,1
110746,0
110747,0
110748,1
110749,1
110750,0
110751,1
110752,1
110753,1
110754,1
110755,1
110756,0
110757,1
110758,0
110759,0
110760,0
110761,1
110762,1
110763,0
110764,0
110765,1
110766,1
110767,1
110768,1
110769,1
110770,1
110771,1
110772,1
110773,1
110774,1
110775,0
110776,0
110777,1
110778,1
110779,0
110780,0
110781,0
110782,0
110783,1
110784,1
110785,0
110786,0
110787,1
110788,0
110789,0
110790,0
110791,1
110792,0
110793,1
110794,1
110795,0
110796,0
110797,1
110798,1
110799,1
110800,0
110801,0
110802,1
110803,1
110804,0
110805,1
110806,1
110807,1
110808,0
110809,1
110810,1
110811,1
110812,1
110813,1
110814,0
110815,0
110816,0
110817,1
110818,1
110819,1
110820,1
110821,1
110822,1
110823,1
110824,1
110825,1
110826,1
110827,0
110828,1
110829,0
110830,1
110831,0
110832,1
110833,1
110834,0
110835,0
110836,1
110837,1
110838,1
110839,1
110840,0
110841,0
110842,0
110843,0
110844,0
110845,1
110846,1
110847,0
110848,1
110849,0
110850,1
110851,1
110852,0
110853,0
110854,1
110855,1
110856,1
110857,0
110858,1
110859,0
110860,1
110861,1
110862,1
110863,1
110864,1
110865,0
110866,0
110867,0
110868,1
110869,1
110870,0
110871,1
110872,1
110873,1
110874,0
110875,1
110876,0
110877,0
110878,1
110879,0
110880,0
110881,0
110882,1
110883,1
110884,1
110885,1
110886,1
110887,0
110888,1
110889,1
110890,0
110891,0
110892,1
110893,1
110894,1
110895,0
110896,0
110897,1
110898,1
110899,1
110900,1
110901,0
110902,1
110903,0
110904,1
110905,0
110906,1
110907,1
110908,0
110909,0
110910,1
110911,1
110912,1
110913,1
110914,0
110915,1
110916,1
110917,0
110918,0
110919,1
110920,1
110921,0
110922,1
110923,1
110924,0
110925,1
110926,0
110927,0
110928,1
110929,0
110930,1
110931,1
110932,0
110933,0
110934,1
110935,0
110936,0
110937,0
110938,1
110939,1
110940,0
110941,1
110942,1
110943,0
110944,1
110945,0
110946,0
110947,0
110948,0
110949,0
110950,1
110951,1
110952,0
110953,1
110954,1
110955,0
110956,1
110957,1
110958,0
110959,0
110960,1
110961,0
110962,0
110963,1
110964,1
110965,1
110966,1
110967,1
110968,1
110969,1
110970,1
110971,0
110972,0
110973,1
110974,1
110975,1
110976,1
110977,0
110978,1
110979,1
110980,1
110981,0
110982,0
110983,1
110984,0
110985,0
110986,1
110987,0
110988,0
110989,1
110990,1
110991,0
110992,1
110993,1
110994,1
110995,1
110996,1
110997,1
110998,1
110999,1
111000,1
111001,1
111002,1
111003,1
111004,1
111005,1
111006,0
111007,0
111008,0
111009,1
111010,1
111011,1
111012,0
111013,1
111014,0
111015,0
111016,0
111017,1
111018,1
111019,1
111020,1
111021,1
111022,1
111023,1
111024,1
111025,1
111026,0
111027,0
111028,1
111029,0
111030,0
111031,1
111032,1
111033,0
111034,0
111035,1
111036,1
111037,0
111038,1
111039,0
111040,1
111041,1
111042,0
111043,1
111044,1
111045,0
111046,1
111047,1
111048,1
111049,1
111050,1
111051,1
111052,1
111053,1
111054,0
111055,0
111056,0
111057,1
111058,1
111059,0
111060,1
111061,0
111062,0
111063,0
111064,1
111065,0
111066,0
111067,0
111068,1
111069,1
111070,0
111071,1
111072,0
111073,1
111074,1
111075,1
111076,1
111077,1
111078,1
111079,1
111080,1
111081,1
111082,1
111083,1
111084,1
111085,1
111086,0
111087,0
111088,1
111089,1
111090,1
111091,1
111092,1
111093,0
111094,0
111095,0
111096,1
111097,0
111098,1
111099,1
111100,1
111101,1
111102,1
111103,0
111104,0
111105,1
111106,1
111107,0
111108,0
111109,1
111110,0
111111,0
111112,0
111113,1
111114,1
111115,1
111116,1
111117,0
111118,0
111119,0
111120,0
111121,1
111122,1
111123,1
111124,1
111125,1
111126,1
111127,1
111128,1
111129,1
111130,1
111131,1
111132,1
111133,1
111134,0
111135,1
111136,0
111137,0
111138,0
111139,1
111140,1
111141,0
111142,1
111143,1
111144,0
111145,1
111146,0
111147,1
111148,0
111149,1
111150,0
111151,0
111152,0
111153,0
111154,1
111155,0
111156,1
111157,0
111158,0
111159,0
111160,0
111161,1
111162,1
111163,1
111164,0
111165,1
111166,1
111167,1
111168,0
111169,1
111170,0
111171,1
111172,0
111173,1
111174,1
111175,1
111176,1
111177,1
111178,0
111179,1
111180,1
111181,1
111182,1
111183,0
111184,0
111185,0
111186,0
111187,1
111188,0
111189,1
111190,1
111191,0
111192,0
111193,1
111194,0
111195,0
111196,0
111197,1
111198,0
111199,0
111200,1
111201,1
111202,1
111203,1
111204,0
111205,1
111206,1
111207,1
111208,1
111209,1
111210,1
111211,1
111212,0
111213,0
111214,1
111215,1
111216,0
111217,1
111218,1
111219,1
111220,1
111221,1
111222,1
111223,1
111224,1
111225,0
111226,1
111227,1
111228,0
111229,0
111230,1
111231,0
111232,1
111233,0
111234,1
111235,1
111236,1
111237,0
111238,0
111239,1
111240,1
111241,1
111242,1
111243,0
111244,1
111245,0
111246,1
111247,1
111248,1
111249,1
111250,0
111251,1
111252,1
111253,1
111254,0
111255,0
111256,0
111257,1
111258,1
111259,1
111260,0
111261,0
111262,0
111263,0
111264,1
111265,1
111266,1
111267,1
111268,0
111269,1
111270,0
111271,1
111272,1
111273,1
111274,1
111275,1
111276,1
111277,0
111278,1
111279,0
111280,1
111281,0
111282,0
111283,0
111284,0
111285,0
111286,0
111287,1
111288,0
111289,0
111290,1
111291,0
111292,1
111293,1
111294,0
111295,1
111296,0
111297,0
111298,0
111299,0
111300,0
111301,0
111302,1
111303,0
