id,X1,X2,X3,X4,T,Y
100001,-1.085630603,0.997345447,0,0,0,2.074016226
100002,0.282978498,-1.506294714,0,0,0,1.715241848
100003,-0.578600252,1.651436537,1,1,1,5.445696981
100004,-2.426679243,-0.428912629,0,1,1,8.378769421
100005,1.265936259,-0.866740402,0,1,0,4.116586135
100006,-0.678886152,-0.094708969,0,1,0,1.902496035
100007,1.491389626,-0.638901997,0,0,1,8.276163533
100008,-0.44398196,-0.434351276,1,0,1,4.651450559
100009,2.205930083,2.186786089,1,0,0,7.134910896
100010,1.004053898,0.386186399,1,1,0,4.267309985
100011,0.737368576,1.490732028,0,0,0,4.795535667
100012,-0.935833868,1.175829045,0,0,0,3.08935079
100013,-1.253880668,-0.637751502,0,1,1,5.910084382
100014,0.907105196,-1.4286807,0,0,1,5.534355521
100015,-0.14006872,-0.861754896,0,1,1,4.626971173
100016,-0.255619371,-2.798589105,0,1,1,0.682333953
100017,-1.771533105,-0.699877235,0,1,1,6.843646077
100018,0.927462432,-0.173635683,0,1,1,7.823540752
100019,0.002845916,0.688222711,0,0,0,3.134038339
100020,-0.879536343,0.283627324,0,1,0,2.047691506
100021,-0.805366518,-1.727669494,0,1,0,0.678124999
100022,-0.390899794,0.573805862,0,0,1,6.562933431
100023,0.338589051,-0.011830494,1,1,0,2.895768819
100024,2.392365266,0.41291216,0,0,0,4.885614257
100025,0.978736006,2.238143338,0,0,1,7.578121696
100026,-1.294085323,-1.03878821,0,1,1,5.318199854
100027,1.743712225,-0.798062735,0,0,1,8.367796566
100028,0.02968323,1.069315969,0,0,1,6.435236746
100029,0.890706391,1.754886182,0,0,1,7.997370219
100030,1.495644137,1.06939267,0,0,0,5.035211764
100031,-0.772708714,0.794862668,0,0,1,5.642312734
100032,0.314271995,-1.32626546,0,0,1,4.636228127
100033,1.417299046,0.807236535,1,1,1,9.619895701
100034,0.045490081,-0.233092061,0,1,1,6.061767012
100035,-1.198301145,0.199524074,0,1,0,1.77808364
100036,0.468439119,-0.831154984,0,1,1,5.923011121
100037,1.162204049,-1.097203046,0,1,0,1.840253599
100038,-2.12310035,1.039727091,0,0,0,2.286153517
100039,-0.403366038,-0.126029585,0,1,1,6.150873677
100040,-0.837516723,-1.605962761,1,1,0,-0.016677919
100041,1.255237375,-0.688868984,0,1,1,7.748392244
100042,1.660952488,0.807308186,1,0,0,5.091792056
100043,-0.314758147,-1.085902401,1,0,1,4.158485116
100044,-0.732461987,-1.212523131,0,0,0,0.751069354
100045,2.08711336,0.16444123,0,1,1,11.83515182
100046,1.150205543,-1.267352049,0,1,1,6.217512548
100047,0.18103513,1.177861939,0,0,1,6.682010596
100048,-0.335010762,1.031114459,0,1,0,3.470054416
100049,-1.084567912,-1.363471545,0,0,0,0.428725089
100050,0.379400612,-0.379176435,1,0,1,6.150350759
100051,0.642054689,-1.977887932,1,1,0,0.911484598
100052,0.712264635,2.598303927,1,0,1,7.988193265
100053,-0.024625981,0.034142129,0,1,0,3.161235592
100054,0.179549485,-1.861975711,0,1,0,1.257389612
100055,0.42614664,-1.605409744,1,0,1,4.530697832
100056,-0.427679598,1.24286955,1,1,0,3.329160191
100057,-0.735216956,0.50124899,0,0,0,2.589929377
100058,1.012739054,0.278740856,0,1,0,4.644681008
100059,-1.37094847,-0.332475275,0,0,1,5.707581368
100060,1.959411342,-2.025045763,0,0,0,2.983659902
100061,-0.275786014,-0.552108071,0,0,0,3.392125858
100062,0.120747363,0.748215617,0,0,1,6.553723563
100063,1.608690968,-0.270232392,1,1,1,10.98826895
100064,0.81234133,0.499740145,1,1,0,4.197337435
100065,0.474347298,-0.563923932,0,0,1,6.550975841
100066,-0.997321469,-1.100043113,1,0,1,3.902312358
